Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
glove_link_r_3_1,0.000747078356090336,0.0129546278341492,-0.00252357406932724,0,0,0,0.00185408804040393,1.38265216147807E-07,-5.67378167842018E-09,9.89015279335301E-10,5.22983364011677E-08,2.30610586528733E-08,1.44707418706026E-07,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_3_1.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_3_1.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-02 过渡连接杆.4-24.stp-4;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-04 芯轴.10-3.stp-7,坐标系r_3_1,a_r_3_1,glove_joint_r_3_1,revolute,0.076856,0.0021271,-0.01675,3.1416,0,1.5708,base_link,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_r_3_2,-0.0437503754011137,0.0254652883230961,-0.00193337245558944,0,0,0,0.00714939436781028,2.63983476830821E-06,3.10758948967801E-06,8.34288494523747E-09,4.22295638672389E-06,1.00310120051534E-08,6.77592921190429E-06,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_3_2.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_3_2.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/外壳-LZ1.1-10.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-10 中指连杆1.1.1.1-11.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-04 芯轴.10-3.stp-5,坐标系r_3_2,a_r_3_2,glove_joint_r_3_2,revolute,0,0.0185,-0.0047,3.1416,-1.5708,0,glove_link_r_3_1,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_r_3_3,0.0373342972773562,0.00433589063270132,-0.00270667841776762,0,0,0,0.00556501261668927,1.53717054500497E-07,5.51257812971243E-08,2.82525599982385E-09,2.78424229454622E-06,-2.29015298179469E-09,2.85882921129466E-06,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_3_3.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_3_3.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-03 食指连杆2.1.1.1.1-13.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/盖板.1.1-12.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-13.00 指尖卡座组件.2-2.stp-1/DX-V4.02-03-04 芯轴.10-3.stp-1,坐标系r_3_3,a_r_3_3,glove_joint_r_3_3,revolute,-0.073077,0.055905,0,0,0,0,glove_link_r_3_2,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_r_3_4,0.00925772788453095,0.0130310623145435,4.65750134015508E-08,0,0,0,0.00329765568443365,2.60953801146768E-07,-5.29731476051154E-08,-3.0430870017335E-12,1.09846551249788E-07,-5.65038881151817E-12,2.70314932688544E-07,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_3_4.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_3_4.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-13.00 指尖卡座组件.2-2.stp-1/DX-V4.02-03-13-02 指尖上卡座-1.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-13.00 指尖卡座组件.2-2.stp-1/指尖外壳-0.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-13.00 指尖卡座组件.2-2.stp-1/DX-V4.02-03-13-01 指尖卡座-2.stp-1,坐标系r_3_4,a_r_3_4,glove_joint_r_3_4,revolute,0.064977,-8.5765E-05,0,0,0,0,glove_link_r_3_3,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_r_4_1,0.000747078508896659,0.0129578089451243,-0.00250603590511165,0,0,0,0.0018540880404039,1.38265216013955E-07,-5.6750793414947E-09,9.81866859466802E-10,5.23183644678508E-08,2.31144513264536E-08,1.44687390773191E-07,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_4_1.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_4_1.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-02 过渡连接杆.4-24.stp-3;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-04 芯轴.10-3.stp-9,坐标系r_4_1,a_r_4_1,glove_joint_r_4_1,revolute,0.072856,-0.020125,-0.01675,3.1416,0,1.5708,base_link,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_r_4_2,-0.0430884132210104,0.0190905916088625,-0.00192897541064418,0,0,0,0.00689032059597664,1.58042021295108E-06,2.29956267231873E-06,2.09602471223716E-09,4.00992174752506E-06,1.20161069466051E-08,5.50204777893461E-06,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_4_2.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_4_2.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-05 食指连杆1.1.1.1.1-17.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/外壳-LS1.1.1.1-16.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-04 芯轴.10-3.stp-3,坐标系r_4_2,a_r_4_2,glove_joint_r_4_2,revolute,0,0.0185,-0.0047,3.1416,-1.5708,0,glove_link_r_4_1,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_r_4_3,0.0372363657672597,0.00510874992183366,-0.00270454458666469,0,0,0,0.00556501163223649,1.52565231755437E-07,5.45417482540578E-10,2.87276702758357E-09,2.78539357233941E-06,-2.23049102822039E-09,2.85882865912642E-06,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_4_3.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_4_3.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-03 食指连杆2.3.1.1-15.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/外壳-LS2.1-14.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-13.00 指尖卡座组件.3-2.stp-1/DX-V4.02-03-04 芯轴.10-3.stp-1,坐标系r_4_3,a_r_4_3,glove_joint_r_4_3,revolute,-0.073065,0.043442,0,0,0,0,glove_link_r_4_2,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_r_4_4,0.00925772788453125,0.0130310623410814,4.64213162354454E-08,0,0,0,0.00329765568443398,2.60953801146803E-07,-5.29731476051561E-08,-3.04246220287962E-12,1.09846551249661E-07,-5.6484961331052E-12,2.70314932688709E-07,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_4_4.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_4_4.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-13.00 指尖卡座组件.3-2.stp-1/指尖外壳-0.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-13.00 指尖卡座组件.3-2.stp-1/a2-3.stp-1/DX-V4.02-03-13-01 指尖卡座-2.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-13.00 指尖卡座组件.3-2.stp-1/DX-V4.02-03-13-02 指尖上卡座-1.stp-1,坐标系r_4_4,a_r_4_4,glove_joint_r_4_4,revolute,0.064965,0.0012591,0,0,0,0,glove_link_r_4_3,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_r_5_1,0.000747078469971685,0.0129542437218486,-0.00250397139958741,0,0,0,0.00185408804040391,1.38265216048051E-07,-5.67362586970243E-09,9.81025281521775E-10,5.22967300625831E-08,2.31020348480337E-08,1.44709025144363E-07,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_5_1.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_5_1.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-02 过渡连接杆.4-24.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-04 芯轴.10-3.stp-4,坐标系r_5_1,a_r_5_1,glove_joint_r_5_1,revolute,0.054856,-0.040125,-0.01675,-3.1416,0,1.5708,base_link,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_r_5_2,-0.0377511137570105,0.0103117298233965,-0.00190285306973448,0,0,0,0.00576773064486739,5.60438385538893E-07,1.03395210537287E-06,-1.85893116849145E-09,2.69965910418639E-06,1.01236697792008E-08,3.18135158700318E-06,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_5_2.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_5_2.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-06 小拇指连杆1.1.1.1-19.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/外壳-LX1.1.1-18.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-04 芯轴.10-3.stp-11,坐标系r_5_2,a_r_5_2,glove_joint_r_5_2,revolute,0,0.0185,-0.0047,3.1416,-1.5708,0,glove_link_r_5_1,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_r_5_3,0.0319616133109541,0.0136908276570892,-0.0026673703140323,0,0,0,0.00511702595572813,2.98860905848742E-07,-5.94474194780334E-07,6.96742967592607E-09,2.00647845514208E-06,3.89976581395725E-10,2.23242411259509E-06,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_5_3.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_5_3.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-07 小拇指连杆2.1.1-21.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/外壳-LX2.1-20.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-13.00 指尖卡座组件.4-2.stp-1/DX-V4.02-03-04 芯轴.10-3.stp-1,坐标系r_5_3,a_r_5_3,glove_joint_r_5_3,revolute,-0.065037,0.025888,0,0,0,0,glove_link_r_5_2,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_r_5_4,0.00925772788458982,0.0130310623342812,4.64604593686246E-08,0,0,0,0.00329765568443396,2.60953801146321E-07,-5.29731476058253E-08,-3.04262132699591E-12,1.09846551250171E-07,-5.64897816187756E-12,2.70314932688668E-07,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_5_4.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_5_4.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-13.00 指尖卡座组件.4-2.stp-1/指尖外壳-0.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-13.00 指尖卡座组件.4-2.stp-1/DX-V4.02-03-13-02 指尖上卡座-1.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-13.00 指尖卡座组件.4-2.stp-1/DX-V4.02-03-13-01 指尖卡座-2.stp-1,坐标系r_5_4,a_r_5_4,glove_joint_r_5_4,revolute,0.056937,0.018926,0,0,0,0,glove_link_r_5_3,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
